"fleet_segment";"Month";"PRODUCTION";"Unit"
"DTS_VL1824";"69";"11691";"kg"
"DTS_VL1824";"70";"1230";"kg"
"DTS_VL1824";"71";"10775";"kg"
"DTS_VL1824";"72";"8595";"kg"
"DTS_VL1824";"73";"4522";"kg"
"DTS_VL1824";"74";"3780";"kg"
"DTS_VL1824";"75";"5999";"kg"
"DTS_VL1824";"76";"4585";"kg"
"DTS_VL1824";"77";"5661";"kg"
"DTS_VL1824";"78";"6923";"kg"
"DTS_VL1824";"79";"8293";"kg"
"DTS_VL1824";"80";"10568";"kg"
"DTS_VL1824";"81";"4154";"kg"
"DTS_VL1824";"82";"14635";"kg"
"DTS_VL1824";"83";"16816";"kg"
"DTS_VL1824";"84";"11760";"kg"
"DTS_VL1824";"85";"11852";"kg"
"DTS_VL1824";"86";"10663";"kg"
"DTS_VL1824";"87";"13257";"kg"
"DTS_VL1824";"88";"13558";"kg"
"DTS_VL1824";"89";"11532";"kg"
"DTS_VL1824";"90";"11879";"kg"
"DTS_VL1824";"91";"17565";"kg"
"DTS_VL1824";"92";"14238";"kg"
"DTS_VL1824";"93";"15029";"kg"
"DTS_VL1824";"94";"366";"kg"
"DTS_VL1824";"95";"23182";"kg"
"DTS_VL1824";"96";"18991";"kg"
"DTS_VL1824";"97";"10652";"kg"
"DTS_VL1824";"98";"8863";"kg"
"DTS_VL1824";"99";"7599";"kg"
"DTS_VL1824";"100";"7465";"kg"
"DTS_VL1824";"101";"7821";"kg"
"DTS_VL1824";"102";"9953";"kg"
"DTS_VL1824";"103";"10201";"kg"
"DTS_VL1824";"104";"10326";"kg"
"DTS_VL1824";"105";"11978";"kg"
"DTS_VL1824";"106";"23859";"kg"
"DTS_VL1824";"107";"22494";"kg"
"DTS_VL1824";"108";"16134";"kg"
"DTS_VL1824";"109";"7597";"kg"
"DTS_VL1824";"110";"7289";"kg"
"DTS_VL1824";"111";"6027";"kg"
"DTS_VL1824";"112";"8426";"kg"
"DTS_VL1824";"113";"4160";"kg"
"DTS_VL1824";"114";"5249";"kg"
"DTS_VL1824";"115";"6473";"kg"
"DTS_VL1824";"116";"6964";"kg"
"DTS_VL1824";"117";"12151";"kg"
"DTS_VL1824";"118";"25849";"kg"
"DTS_VL1824";"119";"20990";"kg"
"DTS_VL1824";"120";"11876";"kg"
"DTS_VL1824";"121";"9757";"kg"
"DTS_VL1824";"122";"4711";"kg"
"DTS_VL1824";"123";"6183";"kg"
"DTS_VL1824";"124";"4624";"kg"
"DTS_VL1824";"125";"6037";"kg"
"DTS_VL1824";"126";"6450";"kg"
"DTS_VL1824";"127";"6858";"kg"
"DTS_VL1824";"128";"6927";"kg"
"DTS_VL1824";"129";"6417";"kg"
"DTS_VL1824";"130";"21508";"kg"
"DTS_VL1824";"131";"28349";"kg"
"DTS_VL1824";"132";"21779";"kg"
"DTS_VL1824";"133";"9757";"kg"
"DTS_VL1824";"134";"4711";"kg"
"DTS_VL1824";"135";"6183";"kg"
"DTS_VL1824";"136";"4624";"kg"
"DTS_VL1824";"137";"6037";"kg"
"DTS_VL1824";"138";"6450";"kg"
"DTS_VL1824";"139";"6858";"kg"
"DTS_VL1824";"140";"6927";"kg"
"DTS_VL1824";"141";"6417";"kg"
"DTS_VL1824";"142";"21508";"kg"
"DTS_VL1824";"143";"28349";"kg"
"DTS_VL1824";"144";"21779";"kg"
"DTS_VL1824";"145";"9757";"kg"
"DTS_VL1824";"146";"4711";"kg"
"DTS_VL1824";"147";"6183";"kg"
"DTS_VL1824";"148";"4624";"kg"
"DTS_VL1824";"149";"6037";"kg"
"DTS_VL1824";"150";"6450";"kg"
"DTS_VL1824";"151";"6858";"kg"
"DTS_VL1824";"152";"6927";"kg"
"DTS_VL1824";"153";"6417";"kg"
"DTS_VL1824";"154";"21508";"kg"
"DTS_VL1824";"155";"28349";"kg"
"DTS_VL1824";"156";"21779";"kg"
"PGP_VL0006";"0";"3432";"kg"
"PGP_VL0006";"1";"3432";"kg"
"PGP_VL0006";"2";"5015";"kg"
"PGP_VL0006";"3";"3854";"kg"
"PGP_VL0006";"4";"1916";"kg"
"PGP_VL0006";"5";"3464";"kg"
"PGP_VL0006";"6";"14290";"kg"
"PGP_VL0006";"7";"6553";"kg"
"PGP_VL0006";"8";"5719";"kg"
"PGP_VL0006";"9";"5324";"kg"
"PGP_VL0006";"10";"3550";"kg"
"PGP_VL0006";"11";"4687";"kg"
"PGP_VL0006";"12";"5431";"kg"
"PGP_VL0006";"13";"2401";"kg"
"PGP_VL0006";"14";"799";"kg"
"PGP_VL0006";"15";"3273";"kg"
"PGP_VL0006";"16";"4721";"kg"
"PGP_VL0006";"17";"18602";"kg"
"PGP_VL0006";"18";"24454";"kg"
"PGP_VL0006";"19";"19129";"kg"
"PGP_VL0006";"20";"17451";"kg"
"PGP_VL0006";"21";"6717";"kg"
"PGP_VL0006";"22";"14789";"kg"
"PGP_VL0006";"23";"1197";"kg"
"PGP_VL0006";"24";"1761";"kg"
"PGP_VL0006";"25";"513";"kg"
"PGP_VL0006";"26";"116";"kg"
"PGP_VL0006";"27";"446";"kg"
"PGP_VL0006";"28";"1812";"kg"
"PGP_VL0006";"29";"4645";"kg"
"PGP_VL0006";"30";"16715";"kg"
"PGP_VL0006";"31";"967";"kg"
"PGP_VL0006";"32";"466";"kg"
"PGP_VL0006";"33";"9017";"kg"
"PGP_VL0006";"34";"13498";"kg"
"PGP_VL0006";"35";"3259";"kg"
"PGP_VL0006";"36";"497";"kg"
"PGP_VL0006";"37";"696";"kg"
"PGP_VL0006";"38";"66";"kg"
"PGP_VL0006";"39";"1648";"kg"
"PGP_VL0006";"40";"4762";"kg"
"PGP_VL0006";"41";"24824";"kg"
"PGP_VL0006";"42";"5081";"kg"
"PGP_VL0006";"43";"2115";"kg"
"PGP_VL0006";"44";"1417";"kg"
"PGP_VL0006";"45";"1329";"kg"
"PGP_VL0006";"46";"2546";"kg"
"PGP_VL0006";"47";"4419";"kg"
"PGP_VL0006";"48";"2443";"kg"
"PGP_VL0006";"49";"64";"kg"
"PGP_VL0006";"50";"-20";"kg"
"PGP_VL0006";"51";"337";"kg"
"PGP_VL0006";"52";"2617";"kg"
"PGP_VL0006";"53";"2428";"kg"
"PGP_VL0006";"54";"850";"kg"
"PGP_VL0006";"55";"1764";"kg"
"PGP_VL0006";"56";"2650";"kg"
"PGP_VL0006";"57";"1060";"kg"
"PGP_VL0006";"58";"684";"kg"
"PGP_VL0006";"59";"337";"kg"
"PGP_VL0006";"60";"184";"kg"
"PGP_VL0006";"61";"780";"kg"
"PGP_VL0006";"62";"470";"kg"
"PGP_VL0006";"63";"343";"kg"
"PGP_VL0006";"64";"290";"kg"
"PGP_VL0006";"65";"1547";"kg"
"PGP_VL0006";"66";"1122";"kg"
"PGP_VL0006";"67";"1428";"kg"
"PGP_VL0006";"68";"1384";"kg"
"PGP_VL0006";"69";"1562";"kg"
"PGP_VL0006";"70";"1057";"kg"
"PGP_VL0006";"71";"269";"kg"
"PGP_VL0006";"72";"391";"kg"
"PGP_VL0006";"73";"31";"kg"
"PGP_VL0006";"74";"400";"kg"
"PGP_VL0006";"75";"-20";"kg"
"PGP_VL0006";"76";"60";"kg"
"PGP_VL0006";"77";"2443";"kg"
"PGP_VL0006";"78";"2439";"kg"
"PGP_VL0006";"79";"2625";"kg"
"PGP_VL0006";"80";"2905";"kg"
"PGP_VL0006";"81";"409";"kg"
"PGP_VL0006";"82";"711";"kg"
"PGP_VL0006";"83";"545";"kg"
"PGP_VL0006";"84";"435";"kg"
"PGP_VL0006";"85";"1067";"kg"
"PGP_VL0006";"86";"1365";"kg"
"PGP_VL0006";"87";"162";"kg"
"PGP_VL0006";"88";"-20";"kg"
"PGP_VL0006";"89";"1837";"kg"
"PGP_VL0006";"90";"4823";"kg"
"PGP_VL0006";"91";"4786";"kg"
