"fleet_segment";"Month";"VESSELS";"DAYS";"GT"
"DTS_VL1824";"39";"75";"15";"58.2875"
"DTS_VL1824";"40";"75";"16";"58.2875"
"DTS_VL1824";"41";"75";"16";"58.2875"
"DTS_VL1824";"42";"75";"17";"58.2875"
"DTS_VL1824";"43";"75";"17";"58.2875"
"DTS_VL1824";"44";"75";"16";"58.2875"
"DTS_VL1824";"45";"75";"4";"58.2875"
"DTS_VL1824";"46";"75";"11";"58.2875"
"DTS_VL1824";"47";"75";"15";"58.2875"
"DTS_VL1824";"48";"75";"13";"58.2875"
"DTS_VL1824";"49";"58";"12";"57.96825397"
"DTS_VL1824";"50";"58";"16";"57.96825397"
"DTS_VL1824";"51";"58";"13";"57.96825397"
"DTS_VL1824";"52";"58";"15";"57.96825397"
"DTS_VL1824";"53";"58";"12";"57.96825397"
"DTS_VL1824";"54";"58";"13";"57.96825397"
"DTS_VL1824";"55";"58";"13";"57.96825397"
"DTS_VL1824";"56";"58";"12";"57.96825397"
"DTS_VL1824";"57";"58";"-1";"57.96825397"
"DTS_VL1824";"58";"58";"11";"57.96825397"
"DTS_VL1824";"59";"58";"9";"57.96825397"
"DTS_VL1824";"60";"58";"11";"57.96825397"
"DTS_VL1824";"61";"57";"19";"60.06451613"
"DTS_VL1824";"62";"57";"15";"60.06451613"
"DTS_VL1824";"63";"57";"15";"60.06451613"
"DTS_VL1824";"64";"57";"12";"60.06451613"
"DTS_VL1824";"65";"57";"8";"60.06451613"
"DTS_VL1824";"66";"57";"10";"60.06451613"
"DTS_VL1824";"67";"57";"8";"60.06451613"
"DTS_VL1824";"68";"57";"11";"60.06451613"
"DTS_VL1824";"69";"57";"13";"60.06451613"
"DTS_VL1824";"70";"57";"0";"60.06451613"
"DTS_VL1824";"71";"57";"12";"60.06451613"
"DTS_VL1824";"72";"57";"12";"60.06451613"
"DTS_VL1824";"73";"58";"6";"63.74603175"
"DTS_VL1824";"74";"58";"11";"63.74603175"
"DTS_VL1824";"75";"58";"14";"63.74603175"
"DTS_VL1824";"76";"58";"13";"63.74603175"
"DTS_VL1824";"77";"58";"17";"63.74603175"
"DTS_VL1824";"78";"58";"18";"63.74603175"
"DTS_VL1824";"79";"58";"14";"63.74603175"
"DTS_VL1824";"80";"58";"15";"63.74603175"
"DTS_VL1824";"81";"58";"5";"63.74603175"
"DTS_VL1824";"82";"58";"13";"63.74603175"
"DTS_VL1824";"83";"58";"16";"63.74603175"
"DTS_VL1824";"84";"58";"13";"63.74603175"
"DTS_VL1824";"85";"70";"12";"62.78666667"
"DTS_VL1824";"86";"70";"11";"62.78666667"
"DTS_VL1824";"87";"70";"12";"62.78666667"
"DTS_VL1824";"88";"70";"15";"62.78666667"
